Level	Department Name	Area Name	AHU Label	Location	Type	device_id	Remark	Class
L04	Inpatient Pharmacy Department	Inpatient Pharmacy Department	AHU-CDR-01	AHU Room	20	e0406	special case: referred to as Incomer AHU-CDR-1 & AHU-CDR-2 in device list	IPD T20
L04	Inpatient Pharmacy Department	Inpatient Pharmacy Department	AHU-L4-PD-02	AHU Room	2	e0407		IPD T20
L04	Bone Marrow Transplant Unit (Stem Cell Transplant)	Bone Marrow Transplant Unit (Stem Cell Transplant)	AHU-L4-SCT-03	AHU Room	13	e0408		BMTU T13
L04	Bone Marrow Transplant Unit (Stem Cell Transplant)	Bone Marrow Transplant Unit (Stem Cell Transplant)	AHU-L4-SCT-01	AHU Room	13	e0409		BMTU T13
L04	Bone Marrow Transplant Unit (Stem Cell Transplant)	Bone Marrow Transplant Unit (Stem Cell Transplant)	AHU-L4-SCT-02	AHU Room	13	e0411		BMTU T13
L04	Obstetric High Risk Unit	Obstetric High Risk Unit	AHU-L4-OHR-01	AHU Room	3	e0412		OHRU T3
L04	Maternity OT	Maternity OT	AHU-L4-MOT-04	AHU Room	11	e0413		MOT T11
L04	Maternity OT	Maternity OT	AHU-L4-MOT-02	AHU Room	14	e0414		MOT T14
L04	Maternity OT	Maternity OT	AHU-L4-MOT-03	AHU Room	8	e0415		MOT T8
L04	Maternity OT	Maternity OT	AHU-L4-MOT-01	AHU Room	14	e0416		MOT T14
L04	Shared Facilities 4	Shared Facilities 4 - 1 - General	AHU-L4-SF-01	AHU Room	1	e0419		SF4 T1
L03	Biophysiological Department	Biophysiological Department	AHU-L3-BL-01	AHU Room	1	e0423		BD T1
L05	Paediatric Intensive Care Unit	Paediatric Intensive Care Unit (PICU)	AHU-L5-PICU-02	AHU Room	3	e0501		PICU T3
L05	Paediatric High Dependency Unit (DWP) 	Paediatric High Dependency Unit (DWP)	AHU-L5-PHDU-01	AHU Room	3	e0502		PHDU T3
L05	Anaesthesiology Department	Anaesthesiology Department	AHU-L5-AD-01	AHU Room	1	e0503		AD T1
L05	Respiratory and Haemodynamic Unit	Respiratory and Haemodynamic Unit  1 - General	AHU-L5-RHU-01	AHU Room	1	e0504		RHU T1
L05	Adult Intensive Care Unit	Adult Intensive Care Unit (AICU)	AHU-L5-AICU-02	AHU Room	3	e0505		AICU T3
L05	Adult High Dependency Unit (DWA) 	Adult High Dependency Unit (DWA)	AHU-L5-AHDU-01	AHU Room	3	e0506		AHDU T3
L05	Adult Intensive Care Unit	Adult Intensive Care Unit (AICU)	AHU-L5-AICU-01	AHU Room	3	e0507		AICU T3
L05	Shared Facilities 5	Shared Facilities 5 - 1 - General	AHU-L5-SF-09	AHU Room	1	e0508		SF5 T1
L05	Paediatric Burn Unit	Paediatric Burn Unit	AHU-L5-PBU-02	AHU Room	1	e0509		PBU T1
L05	Paediatric Intensive Care Unit	Paediatric Intensive Care Unit (PICU)	AHU-L5-PICU-01	AHU Room	3	e0510		PICU T3
L05	Paediatric Burn Unit	Paediatric Burn Unit	AHU-L5-PBU-01	AHU Room	12	e0511		PBU T12
L06	Library	Library	AHU-L6-LIB-01	AHU Room	1	e0602		L T1
L06	Administration Unit	Administration Unit	AHU-L6-AU-01	AHU Room	3	e0603		AU T1
L06	Administration Unit	Administration Unit	AHU-L6-AU-02	AHU Room	3	e0604		AU T2
L06	Central Sterile Supply Unit	Central Sterile Supply Unit (CSSD)	AHU-L6-CSSD-02	AHU Room	1	e0605		CSDD T1
L06	Central Sterile Supply Unit	Central Sterile Supply Unit (CSSD)	AHU-L6-CSSD-01	AHU Room	8	e0606		CSDD T8
L06	Specialist Office Complex	Specialist Office Complex	AHU-L6-SOC-01	AHU Room	6	e0607		SOC T6
L06	Information Technology Department	Information Technology Department	AHU-L6-IT-01	AHU Room	1	e0611		ITD T1
L05	Main Operation Theatre Complex	Main Operation Theatre Complex (OTC)	AHU-L5-OT-10	AHU Room	11	e0622		MOTC T11
L06	Medical Record	Medical Record	AHU-L6-MR-01	AHU Room	1	e0625		MR T1
L06	Shared Facilities 6	Shared Facilities 6	AHU-L6-SF-01	AHU Room	1	e0626		SF6 T1
L06	Specialist Office Complex	Specialist Office Complex	AHU-L6-SOC-02	AHU Room	6	e0627		SOC T6
L06	Central Sterile Supply Unit	Central Sterile Supply Unit (CSSD)	AHU-L6-CSSD-03	AHU Room	1	e0628		CSDD T1
L07	Inpatient Wards - Obstetric 3	Inpatient Wards - Obstetric 3	AHU-L7-OB3-01	AHU Room	4	e0701		IWO3 T4
L07	Inpatient Wards - Obstetric 4	Inpatient Wards - Obstetric 4	AHU-L7-OB4-01	AHU Room	4	e0702		IWO4 T4
L07	Inpatient Wards - Obstetric 1	Inpatient Wards - Obstetric 1	AHU-L7-OB1-01	AHU Room	4	e0703		IWO1 T4
